"Taxa","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Natronorubrum bangense",8,130,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natronorubrum","bangense"
"Salinarchaeum sp. Harcht-Bsk1",11,174,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Salinarchaeum","sp. Harcht-Bsk1"
"Salinarchaeum sp. IM2453",2,22,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Salinarchaeum","sp. IM2453"
"Methanobacterium congolense",7,110,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","congolense"
"Methanobacterium formicicum",4,94,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","formicicum"
"Methanobacterium lacus",3,42,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","lacus"
"Methanobacterium paludis",5,78,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","paludis"
"Methanobacterium sp. MethCAN",5,64,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","sp. MethCAN"
"Methanobrevibacter arboriphilus",12,228,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","arboriphilus"
"Methanobrevibacter millerae",11,211,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","millerae"
"Methanobrevibacter olleyae",8,227,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","olleyae"
"Methanobrevibacter ruminantium",13,200,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","ruminantium"
"Methanobrevibacter smithii",10,202,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","smithii"
"Methanobrevibacter sp. AbM4",8,140,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","sp. AbM4"
"Methanobrevibacter sp. YE315",6,91,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","sp. YE315"
"Methanosphaera sp. BMS",7,120,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera","sp. BMS"
"Methanosphaera stadtmanae",8,112,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera","stadtmanae"
